17,351
13,245
10,292
2,24
11,180
3,26
12,294
7,144
7,179
16,259
8,107
5,139
3,44
6,169
10,280
9,210
6,99
10,276
15,353
3,27
14,303
4,50
15,327
12,239
13,361
8,125
7,187
8,178
11,361
17,351
7,94
5,97
12,355
11,220
14,359
6,83
2,10
11,306
11,233
16,339
3,29
5,90
7,122
6,179
3,40
8,216
3,29
9,223
9,188
9,196
8,166
6,180
11,281
13,362
18,313
11,197
7,159
8,184
9,172
4,70
8,208
3,39
6,165
11,255
10,202
11,307
6,142
4,50
11,333
5,102
7,167
8,160
10,220
10,308
15,331
15,341
17,332
8,136
10,187
7,212
8,164
10,297
15,318
8,125
8,275
12,303
13,302
14,206
15,282
6,143
16,350
14,304
17,355
10,163
9,115
6,141
10,258
7,189
6,111
3,32
