26,203
23,81
5,25
21,166
22,61
3,15
28,169
26,150
34,163
38,121
13,60
12,43
9,41
12,52
11,38
23,126
43,165
29,175
25,62
10,58
13,51
8,30
5,25
9,32
19,48
8,19
21,85
21,145
20,58
21,187
16,76
10,42
13,50
28,167
5,19
11,68
2,10
6,24
13,42
6,23
2,10
19,144
18,64
22,158
21,74
9,41
11,43
11,50
11,44
3,12
10,36
28,152
18,49
9,32
5,25
14,45
11,29
22,187
14,44
6,26
21,110
42,154
2,10
31,149
22,126
8,22
19,167
31,89
4,16
8,36
6,30
5,16
9,30
10,31
5,16
10,45
29,138
29,105
17,160
6,27
5,25
12,64
2,7
18,59
8,20
23,74
3,12
13,43
26,75
3,13
23,110
18,49
15,38
11,37
17,43
14,42
9,37
7,33
25,198
32,105
