29,221
25,182
7,26
13,33
16,89
17,59
15,55
13,52
7,25
6,15
9,26
6,25
10,41
12,41
20,153
14,78
11,46
18,84
8,40
22,111
16,80
5,19
13,42
10,49
15,96
22,185
23,162
3,9
15,80
17,128
8,42
9,39
9,52
14,79
16,88
14,66
7,33
20,166
7,26
25,145
9,43
6,32
18,124
7,32
23,193
20,110
11,30
5,13
18,55
10,53
9,40
7,27
2,9
9,27
12,34
10,40
14,63
18,71
14,63
12,36
3,13
11,39
25,170
3,9
27,192
23,164
10,51
14,46
16,75
3,12
14,80
12,49
6,27
20,159
4,15
7,19
7,22
14,67
8,34
13,38
16,85
7,21
3,12
16,124
12,55
3,12
23,194
17,108
13,64
7,22
6,21
12,37
13,40
6,22
13,56
13,32
4,17
5,21
4,15
18,89
