34,127
25,81
7,24
13,33
16,68
17,43
15,42
13,40
7,22
6,15
9,25
6,21
10,41
12,31
21,77
22,64
11,38
18,67
8,29
22,71
25,73
5,18
13,42
10,39
16,53
22,82
25,90
3,9
26,79
18,80
8,33
9,27
10,38
22,69
16,59
14,59
7,26
23,74
7,23
27,96
9,33
6,21
19,78
7,33
24,119
22,77
11,28
5,13
18,54
10,41
9,33
7,26
2,9
9,27
12,34
10,37
14,50
18,53
14,60
12,34
3,12
11,36
30,104
3,9
30,87
29,108
10,38
14,43
16,55
3,12
14,45
12,48
6,25
20,72
4,15
7,19
7,21
14,41
8,26
13,37
20,68
7,21
3,12
22,75
12,48
3,11
27,110
17,74
13,42
7,22
6,21
12,36
13,37
6,22
13,45
13,32
4,17
5,20
4,15
18,61
