26,267
23,105
5,28
18,161
22,91
3,16
23,206
26,159
25,190
26,186
13,70
12,61
9,51
12,64
11,52
18,172
21,169
27,185
25,104
10,48
13,84
8,38
5,28
9,39
19,141
8,19
21,118
17,157
20,78
21,152
16,154
10,55
13,72
23,200
5,19
11,68
2,10
6,30
13,45
6,29
2,10
17,146
18,99
20,165
21,115
9,56
11,64
11,66
11,68
3,12
10,44
25,186
18,65
9,44
5,28
14,68
11,37
22,160
14,74
6,29
16,171
17,117
2,10
22,184
22,122
8,28
19,136
25,183
4,16
8,48
6,30
5,19
9,37
10,45
5,16
10,59
21,179
27,224
17,113
6,30
5,25
10,86
2,7
18,74
8,20
23,110
3,13
13,43
26,132
3,14
19,149
18,76
15,61
11,37
17,56
14,60
9,52
7,41
24,228
29,217
