29,277
25,251
7,65
13,111
16,273
17,143
15,193
13,115
7,84
6,55
9,74
6,82
10,148
12,151
20,269
14,124
11,207
18,231
8,84
22,244
16,198
5,51
13,119
10,157
15,243
22,251
23,255
3,16
15,203
17,268
8,82
9,138
9,122
14,115
16,273
14,133
7,86
20,277
7,51
25,260
9,65
6,50
18,258
7,51
23,277
20,204
11,103
5,24
18,163
10,115
9,145
7,77
2,15
9,63
12,95
10,178
14,168
18,271
14,109
12,207
3,23
11,115
25,262
3,17
27,273
23,218
10,115
14,242
16,179
3,23
14,234
12,125
6,95
20,251
4,31
7,47
7,42
14,144
8,124
13,121
16,210
7,61
3,20
16,185
12,186
3,29
23,265
17,160
13,235
7,44
6,68
12,215
13,108
6,80
13,157
13,160
4,36
5,52
4,28
18,239
